STATE,W_Ratio_1970,AA_Ratio_1970,AI_Ratio_1970,APAC_Ratio_1970,Total_Population_1970,W_Ratio_1980,AA_Ratio_1980,AI_Ratio_1980,APAC_Ratio_1980,Total_Population_1980,W_Ratio_1990,AA_Ratio_1990,AI_Ratio_1990,APAC_Ratio_1990,Total_Population_1990,W_Ratio_2000,AA_Ratio_2000,AI_Ratio_2000,APAC_Ratio_2000,Total_Population_2000,W_Ratio_2010,AA_Ratio_2010,AI_Ratio_2010,APAC_Ratio_2010,Total_Population_2010
Maryland,0.8145239686222641,0.17832938464444847,0.0010807161637559055,0.0060659305695315545,3922399,0.7537385277856603,0.22792497424167688,0.0021604138853073764,0.016176084087355474,4200584,0.7098163158260183,0.24885641815442455,0.002712974341771188,0.03861429167778598,4781468,0.6530664278276932,0.2845060148483535,0.0029700173255824925,0.059457539998370855,5192899,0.5989262671595074,0.30314588888548155,0.00364067889925268,0.09428716505575838,5608844
Massachusetts,0.9628160170991551,0.030903804948700778,0.0007865822255267464,0.005493595726617415,5689170,0.9500389048698652,0.039042472106400626,0.0016247309558233215,0.009293892067910857,5661245,0.898436197575803,0.04988510618847571,0.0020345969574955226,0.049644099278225856,6016425,0.8652597768983598,0.05536819379754484,0.002420567033344016,0.07695146227075142,6203092,0.8258382784686554,0.06813417223657724,0.002956572421280671,0.10307097687348662,6375626
Michigan,0.8826367032285782,0.11166836411558066,0.0018990244936300878,0.00379590816221099,8875083,0.8581501552237086,0.130156017358093,0.004883553679788519,0.006810273738409863,9198015,0.834409702024583,0.13896339191743953,0.005985607560468482,0.02064129849750901,9295297,0.8173640584656642,0.14495566809370955,0.006000290579916249,0.031679982860710026,9746028,0.808335286892459,0.14506530964835831,0.006423385278496385,0.04017601818068621,9653321
Minnesota,0.9818834361681075,0.009163801774047686,0.006078364329189369,0.002874397728655488,3804971,0.9701521372005948,0.012877445114889205,0.009039437344861548,0.007930980339654458,4063306,0.9440689227832331,0.021700994651778164,0.011407513292842059,0.022822569272146757,4375099,0.9097625113790557,0.03550554847203807,0.011364479813560258,0.043367460335345914,4836737,0.8735767883555586,0.05298776932018738,0.011762615905676626,0.061672826418577346,5178780
Mississippi,0.62847916380984,0.367975815007542,0.0018552833851772194,0.0016897377974407644,2216912,0.6417844400148407,0.352390913503821,0.002746477922115066,0.003078168559223264,2517406,0.6347935812617362,0.35560831271063137,0.0033129748921194332,0.0062851311355129145,2573216,0.6181675733908464,0.36599711750571845,0.004125131831099005,0.011710177272336232,2824637,0.5982169583286456,0.3744677296731545,0.005124114019207757,0.022191197978992154,2933190
Missouri,0.8932950083834046,0.10267762158075022,0.001155778647326281,0.0028715913885188947,4676501,0.8871178135066599,0.10473547094597213,0.0030542277930444965,0.005092487754323473,4901730,0.8767176078981089,0.10713312082903645,0.0038762394048316292,0.012273031868022989,5117073,0.8612286986568477,0.11416177684263987,0.004548397921333539,0.020061126579178874,5513150,0.8455805241785177,0.11823858038196297,0.0046682166000663675,0.03151267883945298,5864338
Montana,0.9548306545566085,0.0028729466351962605,0.03906919409166644,0.0032272047165287318,694409,0.9457071158333291,0.0022184326479763503,0.04812135260570104,0.003953098912993531,783436,0.9274727337575792,0.002979732562432343,0.05966848754481801,0.00987904613517048,799065,0.9218965215772761,0.003036780921976615,0.0632489720406333,0.011817725460114049,886465,0.917591470274429,0.004175484400775995,0.06486154126906937,0.01337150405572566,964439
Nebraska,0.9658737857205932,0.026903396241168647,0.004465137348137133,0.0027576806901009982,1483493,0.9580854470812878,0.030783909105734697,0.00587222359907082,0.005258420213906627,1557502,0.9380208250838674,0.03636882002806666,0.007862467015335295,0.01774788787273067,1578385,0.9087014241603499,0.04062146256467395,0.008828253255181323,0.04184886001979482,1687310,0.8802388138553674,0.04638659168102635,0.010312670868145897,0.06306192359546034,1786831
Nevada,0.9170087040500227,0.05680344069828824,0.016231600571267223,0.00995625468042182,488738,0.8965157114329653,0.06529279296511376,0.018291112284272246,0.01990038331764868,784206,0.842625389717207,0.06554238400842713,0.016339208525643745,0.07549301774872216,1201833,0.7814878430911387,0.07049378482684984,0.013747320911485882,0.13427105117052557,1921829,0.6940006432376918,0.084920581897054,0.012453796423039096,0.20862497844221503,2574476
New Hampshire,0.9937981322549991,0.0033957767652955683,0.0004893714220645509,0.0023167195576407687,737681,0.9901340112915713,0.004701921654937235,0.0015060502988177777,0.003658016754673649,919624,0.9803299881361494,0.006489057490993931,0.0019238189338401013,0.011257135439016562,1109252,0.9707820889076472,0.007390157798477308,0.0024243970907234912,0.019403356203152044,1222572,0.9544139085529323,0.011609249718938019,0.0024322671509580816,0.03154457457717159,1295088
New Jersey,0.885848593865877,0.10746015297641069,0.0006565139971685916,0.00603473916054376,7168164,0.8549180652352825,0.12847162754841598,0.001416799491619006,0.015193507724682523,7199325,0.7930550977544143,0.13412675086298032,0.0019365635091927907,0.07088158787341266,7730188,0.7444222035108428,0.13923636028849126,0.0023769007004979517,0.11396453550016798,8200595,0.7050440087698301,0.14088910472916677,0.003394222197951235,0.1506726643030519,8551591
New Mexico,0.9013927165354331,0.019247047244094487,0.07164173228346457,0.007718503937007874,1016000,0.8780816623914427,0.02044927965282936,0.094619245066947,0.006849812888780949,1128206,0.7564196746154795,0.019939685915294946,0.08867912946539068,0.1349615100038348,1515069,0.6927824711205847,0.019594127752366467,0.09897935721584578,0.1886440439112031,1752719,0.7102704158928931,0.021466383542472916,0.09748008368610346,0.17078311687853054,1982169
New York,0.8682414131691963,0.11893145389800837,0.0015548089767339053,0.011272323956061333,18236967,0.8346195209457405,0.14308063298760035,0.0026160282295774563,0.019683817837081632,16814421,0.7440198149518731,0.15892066098383836,0.0034824577810844697,0.09357706628320407,17990455,0.7012670592602362,0.16394756414771344,0.004484921497149368,0.13030045509490096,18386275,0.6779907656628505,0.16356740195015468,0.0056888335847755985,0.15275299880221918,18792253
North Carolina,0.767753188225481,0.2216577965741838,0.008737797022820869,0.0018512181775142713,5082059,0.7600565982373712,0.2247595478002581,0.011239221269868425,0.003944632692502335,5868734,0.7555838402374425,0.2197017275195489,0.012092229518677822,0.01262220272433081,6628637,0.7305080899913454,0.2186676831881187,0.01252835841895341,0.03829586840158252,7946053,0.6998339851161139,0.21959112832238786,0.013088892995432446,0.06748599356606573,9329284
North Dakota,0.9704157433052588,0.004037160002007249,0.023259804357996055,0.002287292334737868,617761,0.9620381093393378,0.003795267511834292,0.030646285982852947,0.003520337165974989,651074,0.945745147150908,0.0055165936130244205,0.040571383844708826,0.008166875391358798,638800,0.934434674118859,0.006168852650117675,0.049352396495285146,0.010044076735738072,634802,0.9163223547003502,0.012047135173094328,0.05537898531641891,0.016251524810136544,660738
Ohio,0.9056497938371671,0.09110734614862143,0.0006246704262676261,0.002618189587943767,10652017,0.8934711109271762,0.10013787369467557,0.001446534534221739,0.004944480843926512,10752595,0.87781460784734,0.10646388463660614,0.0018768124058793512,0.013844695110174457,10847115,0.8615661724543121,0.1162373702072887,0.002187176620809441,0.020009280717589728,11195255,0.8442921816319503,0.12458744289960146,0.0022384798870033196,0.028881895581444973,11298739
Oklahoma,0.8910347608596183,0.06716554087187977,0.0384756502837378,0.0033240479847641614,2559229,0.8680169344237915,0.06829590691402272,0.057096325206028156,0.006590833456157703,2998862,0.8213136825105664,0.07432671506254003,0.08024580483439488,0.024113797592498692,3145585,0.7977839351995603,0.07920917093644309,0.0829309408623446,0.040075953001652065,3294669,0.7668050979736716,0.07865202278734175,0.09112868729160942,0.06341419194737721,3530030
Oregon,0.971642715234163,0.012579223815796708,0.006459834033427609,0.009318226916612675,2091385,0.9582075470611785,0.014376195409397611,0.011695100601509474,0.01572115692791444,2605279,0.9276879705001652,0.016246581578927926,0.013543860809528551,0.042521587111378344,2842321,0.8929550685721211,0.01678257665707668,0.013631509346467856,0.07663084542433428,3316654,0.8693272278684812,0.018773761873307083,0.014432570195439077,0.09746644006277272,3686315
Pennsylvania,0.9104472486603042,0.0861897442145772,0.00046914046903363425,0.0028938666560849335,11793909,0.904457168823726,0.08862096854870297,0.0009437593362825106,0.005978103291288623,11795380,0.8854163519304528,0.09172090088887538,0.0012399800263313751,0.021622767154340524,11881643,0.8636913936516122,0.10088385783473366,0.0015115130535644705,0.03391323546008965,12138830,0.8348711352777928,0.11052863225481814,0.0021535484972414554,0.052446683970147644,12464544
Rhode Island,0.9662330666244158,0.026763843777232038,0.0014682193878898307,0.0055348702104623835,946725,0.9603430070713211,0.029182265169210422,0.0034172719418935783,0.007057455817574846,937590,0.9142081828545917,0.03872685019093859,0.0040569467365047475,0.043008020217964966,1003464,0.8736584227718152,0.04598516961614324,0.005020253551724003,0.07533615406031755,1020068,0.8419000176855509,0.059137534634203855,0.005952170410108275,0.09301027727013697,1017780
South Carolina,0.6926921123050388,0.3045883522819392,0.0008650786175418333,0.0018544567954801284,2590516,0.6893095046451949,0.3042352341596735,0.0021643771253836764,0.004290884069747887,3115908,0.6903295175987172,0.29824278121767184,0.002364984915549159,0.009062716268061833,3486703,0.6786298904699877,0.2983880916259615,0.0034536218216130563,0.019528396082437786,3972062,0.6732037834052628,0.28395207581066606,0.004295304139609265,0.038548836644461945,4545429
South Dakota,0.9471470623148968,0.002444752647229856,0.04863209553017474,0.0017760895076986418,665507,0.9280023669977853,0.0031211882560940765,0.0660960925681781,0.0027803521779425394,689481,0.9159645634220493,0.004681007580416205,0.07266481227119384,0.006689616726340653,696004,0.8989053133661346,0.006291225318522656,0.08363636851943364,0.01116709279590916,744688,0.8776441622944998,0.012808430700579874,0.0901208060765695,0.01942660092835084,796897
Tennessee,0.8394986654134237,0.15833602425473794,0.0005800666566930543,0.0015852436751453416,3923687,0.8370589455368443,0.15808027065276967,0.0015343300626403608,0.003326453747745669,4585063,0.8300009124115653,0.15952542296427139,0.0020583594840056303,0.008415305140157694,4877185,0.8110858284866412,0.16579810720393645,0.002693126803401388,0.020422937506020967,5626174,0.7892675160869878,0.16954758233356254,0.0032061725797678546,0.037978728999681854,6236096
Texas,0.8678540966871577,0.12494764096303117,0.0016037718155211388,0.005594490534289922,11196730,0.8567440319835429,0.12921522606435895,0.0038514261502376065,0.010189315801860603,13193035,0.7520533646993997,0.11901397049776558,0.0038781951089423314,0.1250544696938924,16986510,0.7277065899035102,0.11823493583453798,0.005819978938090111,0.14823849532386166,20337187,0.7234998299720108,0.1217824655366345,0.0069879868686076015,0.14772971762274714,24466560
Utah,0.9741832369936739,0.006246737148969152,0.01064220460636682,0.008927821250990066,1059273,0.965120309062318,0.006757948835960572,0.014018681812951747,0.014103060288769642,1434015,0.9378907043561541,0.006719099167077807,0.014094668717531997,0.04129552775923615,1722850,0.9117102948159493,0.008077406227155493,0.013579301492149495,0.06663299746474569,2185974,0.8851321266776448,0.010893973925435032,0.012247955729258691,0.09172594366766144,2688367
Vermont,0.9960007201854477,0.0017126910179371187,0.0005153827110480949,0.0017712060855670335,444330,0.992374957921354,0.0023250898330162756,0.0020902322741257425,0.0032097199715039495,510948,0.9863706957519929,0.003466854313932454,0.0030137288141616823,0.007148721119913,562758,0.9795774507391619,0.005092337055189429,0.004023328656075226,0.011306883549573394,601492,0.969599406817694,0.010206703220225436,0.003588687909357581,0.01660520205272298,614988
Virginia,0.8091898150239626,0.1853004435414997,0.001043994033336388,0.004465747401201335,4648494,0.7954609467242296,0.189397609455225,0.001890661943861104,0.013250781876684301,5325648,0.7744402376587874,0.1879629399171666,0.002469874864198904,0.03512694755984703,6187358,0.7382524498064004,0.20046194577825277,0.003052723646035165,0.05823288076931173,6935446,0.7063745618994947,0.199726325579096,0.003762411774823292,0.09013670074658608,7767624
Washington,0.9536209557226409,0.020916534205256472,0.009793002341626361,0.015669507730476255,3409169,0.9309876279742997,0.02593412735580889,0.015669906427024104,0.02740833824286734,4072009,0.8853934048014545,0.030780867168088713,0.016742995036464193,0.06708273299399263,4866692,0.8488225367663498,0.03349416135825041,0.01642449162958433,0.1012588102458155,5680602,0.810460829363714,0.03743862309864568,0.016200133071017687,0.1359004144666226,6411614
West Virginia,0.959433838406134,0.03860828545662086,0.0004305607552184709,0.0015273153820266397,1744237,0.9623700792333147,0.033390009230368015,0.0012100098669451179,0.0030299016693721196,1947918,0.9621104703322094,0.031388749339969234,0.0013705221756398326,0.005130258152181489,1793477,0.9588414532098299,0.031927593893858824,0.0020116526345620445,0.007219300261749145,1792556,0.9529731873120055,0.03457235307133327,0.002074100200892515,0.010380359415768639,1825852
Wisconsin,0.9640602834350938,0.029024854614280497,0.004283646967187455,0.0026312149834383305,4417731,0.9495951378957422,0.03912122113040165,0.006575698705363932,0.004707942268492177,4682088,0.9224726269780932,0.049989891182514956,0.008051688458715038,0.019485793380676807,4891769,0.9005201273226375,0.05748020495470833,0.00891636050581674,0.0330833072168374,5296780,0.8780866284567471,0.06433266955286082,0.009767012875024473,0.047813689115367576,5582669
Wyoming,0.9717462456680785,0.00772525991528687,0.01498122834039276,0.005547266076241818,332416,0.9704826884662953,0.007107629507747751,0.017966870186863274,0.004442811839093701,460069,0.9415174122772207,0.007949945765761,0.020897819166291878,0.029634822790726385,453588,0.9376591826339093,0.007675825274954166,0.02295942041538547,0.03170557167575103,484899,0.927465012289915,0.008612917562333905,0.02419163197373314,0.03973043817401794,551265
